title,contributor_name,code_link,mentors,organization,technologies,topics,project_details,url
Automate listing of members of technical steering committee,14Richa,https://14richa.github.io/2023-08-25/reflection-gsoc,"Lukasz Gornicki, acethecreator, Saurav K",Postman,"javascript, git, rest, graphql, mermaid.js","web, workflows, Github APi, GH Action","The goal of this GSOC program is to automate the processes around project governance. This project aims to automate maintaining the Maintainers.yaml file which contains the list of maintainers and TSC members of AsyncAPI. The tasks involve implementing workflows to automatically update the member's list based on changes in other files, inviting new maintainers and TSC members, updating the Emeritus.yaml file when someone is removed, and aggregating helpful information in the Maintainers.yaml file. These automation and improvements will make it easier to manage the maintainers and TSC members of AsyncAPI.",https://summerofcode.withgoogle.com/programs/2023/projects/YOu23jKE
AsyncAPI : Introduce UI Tests and Refactoring in Website,Aadrika Bhargava,https://reachaadrika.hashnode.dev/wrapping-things-up-gsoc23postmanasyncapi,"Akshat Nema, Abir Pal",Postman,"javascript, AsyncAPI, Cypress, UI Testing","testing, web, AsyncAPI, UI Testing","This proposal is submitted for AsyncAPI 's Introduce UI Testing to Website . Current version of the website is based on NextJS and deployed on Netlify , however there is no well defined testing suite associated with it . I will work on adding the required Unit tests , Integration tests and end to end tests using Cypress to the website . By the end of Google Summer of Code , I aim to have a clear well uniformed set of testing suites for the website .",https://summerofcode.withgoogle.com/programs/2023/projects/uq2r9PUC
IMPROVING MAIL INTEGRATION IN KALENDAR,Aakarsh MJ,https://community.kde.org/GSoc/2023/StatusReports/AakarshMJ,"Carl Schwan, Claudio Cambra",KDE Community,"linux, c++, qt, qml, cmake, akonadi-api, kde-pim",desktop application,The aim of this project is to improve Mail Integration in Kalendar by implementing the following goals: 1) Adding email composition 2) Implementing advanced search functionality 3) Adding signature management [Optional],https://summerofcode.withgoogle.com/programs/2023/projects/5r2LyurQ
Towards a Neural Extraction Framework,Aakash Thatte,https://github.com/dbpedia/neural-extraction-framework/tree/main/GSoC23,"Tommaso Soru, Diego Moussallem, Ziwei XU",DBpedia,"python, sparql","nlp, graph, Relation Extraction","The Dbpedia property dbo:wikiPageWikiLink helps us to see for the articles which have the outgoing link to the Berlin_Wall article in their Wikipedia article i.e. the text of the Wikipedia article has the hyperlink present for the Berlin_Wall article. This forms an entity relationship between articles such that Berlin_Wall is the subject entity and the articles that point to it are base entities. However, it was found that only few of these articles had some other predicate relationship with the Berlin_Wall article. Currently, such relationships are extracted from tables and the info boxes. In this project, we aim to make use of the unstructured text on the Wikipedia page to find relations among entities. The goal of this project is to develop a framework for predicate resolution of wiki links among entities. I will be using some recent research work on relation extraction to achieve this.",https://summerofcode.withgoogle.com/programs/2023/projects/cKuagkf8
Extend the Cppyy support in Numba,Aaron Jomy,https://maximusron.github.io/2022-09-23/GSoC-23-CERN,"Baidyanath Kundu, Vassil Vassilev, Wim Lavrijsen",CERN-HSF,"python, c++, numba","C++ bindings, Cross Language support, Python Compilation","Numba is a JIT compiler that translates a subset of Python and NumPy code into fast machine code. Cppyy is an automatic, run-time, Python-C++ bindings generator, for calling C++ from Python and Python from C++. Cppyy has to pay a time penalty each time it needs to switch between languages which can multiply into large slowdowns when using loops with cppyy objects. This is where Numba can help. Since Numba compiles the code in loops into machine code it only has to cross the language barrier once and the loops thus run faster. Initial support for Cppyy objects in Numba enabled the use of builtin types and classes, but some essential C++ features, such as references and STL classes, are not yet supported. The project aims to add support for C++ reference types in Numba through Cppyy and improve the existing numba extension implementation to provide general support for C++ templates. This added support will allow cppyy users to define a wider array of standard and templated functions that can leverage reference types to the C++ code defined in python.",https://summerofcode.withgoogle.com/programs/2023/projects/PFtlRi3L
hpxMP: HPX threading system for LLVM OpenMP,Aarya,https://docs.google.com/document/d/e/2PACX-1vTcJK0oQJsG2Twk5dNyYYMPRBoDRogWbMBBzVAYU3ClIMYjTvWbgbRpz07vV486pXkF74tPgHUhoSLi/pub,"Hartmut Kaiser, rtohid",Ste||ar group,"llvm, c++, openmp, hpx","compiler, hpc, Multi-Threaded Programming","One of the challenges in adopting HPX is the performance degradation observed in applications that use OpenMP. This occurs because of the contention between HPX threads and OpenMP's native threading system (i.e., pthread) over available resources. hpxMP aims at resolving this issue by adding support for HPX threads as an alternative to pthreads in LLVM OpenMP. This work relies on the HPXC, which replicates pthread's API.",https://summerofcode.withgoogle.com/programs/2023/projects/eijAjjJ5
Image feature and classification database,Aaryan Gautam,https://docs.google.com/document/d/1YUuhjBycdRBWdMOlEAMiEVBDS__dxhag_pi6UprBzTg/edit#heading=h.xa6g1iidtl1w,DimiterP,INCF,"java, sql","machine learning, database",The Active Segmentation platform for ImageJ (ASP/IJ) was developed in the scope of GSOC 2016 - 2021. The plugin provides a general-purpose environment that allows biologists and other domain experts to use transparently state-of-the-art techniques in machine learning to achieve excellent image segmentation and classification. ImageJ is a public-domain Java image processing program extensively used in life and material sciences. The program was designed with an open architecture that provides extensibility via plugins computing different filters and region descriptors (i.e. image features). The feature space and the classification results produced by the platform are stored in several separate files. The idea is that the types and values of image features and classification outcomes would be stored in an SQLite database for cross-comparisons between sessions. The candidate is required to use the SQLite database engine in order to integrate it with the GUI of ASP/IJ.,https://summerofcode.withgoogle.com/programs/2023/projects/IuOyLNbG
Admin: Improved People and Newsfeed Management,Aashima Wadhwa,https://gist.github.com/aashimawadhwa/a0659228c380ff567f56299624a2804e,"Dominic Mills, Tyrone Taylor, CyberWake, Tonythegr8",The Palisadoes Foundation,"web development, css, typescript, reactjs, web desiging",web,"In the Talawa Admin Newsfeed functionality ( for eg: CRUD operations ) are not implemented yet for the Talawa API, Talawa Admin. Along with it the images and videos are not rendering , the modal for creating posts is not functioning well and there are issues in posts rendering in the Talawa Admin application. In this proposal I propose to fix these shortcomings and implement and integrate the admin and API altogether.",https://summerofcode.withgoogle.com/programs/2023/projects/a4jcWmYH
Reducing Fossology's false positive copyrights,Abdelrahman Jamal,https://github.com/Hero2323/GSoC-2023,"Gaurav Mishra, Anupam Ghosh, HastagAB, Kaushlendra",FOSSology,"python, spaCy, Regex","machine learning, natural language processing, Named Entity Recognition, Text Categorization","This project’s goal is to improve the accuracy of Fossology’s copyright detection system using machine learning. This functionality was originally implemented in 2021 to improve the two-step process of copyright detection used by most copyright detection software; using Regex and then human intervention. The machine learning approach uses Named Entity Recognition (NER) and Part of Speech (POS) tagging to figure out which statements contain copyright and which do not. I’ll be working on improving all parts of the project; starting from the dataset & preprocessing, then working my way to the NER hypothesis until the machine learning model used and the final integration.",https://summerofcode.withgoogle.com/programs/2023/projects/bAs5hkHh
Discontinuous Galerkin Infrastructure For the finite element toolbox Ferrite.jl,Abdulaziz Hamid,https://gist.github.com/AbdAlazezAhmed/2a75a6f993ffacadeb4b277d7254d222,"Fredrik Ekre, Dennis Ogiermann",The Julia Language,julia,"Finite Element Method, Discontinuous Galerkin","This project aims to implement the necessary infrastructure for the Discontinuous Galerkin method in the finite element toolbox Ferrite.jl. This will include writing examples, documentation, and tests. DG method is a FEM like the continuous Galerkin (CG) method where the test functions are chosen to be the same as the trial functions. However, DG elements do not share degrees of freedom (DoF) at common nodes, introducing extra DoF and adding the process of choosing coupling between elements through numerical fluxes. The main deliverables are: • Methods to integrate on inner faces. • Extend the methods to integrate over subfaces. • Sparsity pattern methods for DG. • Implement infrastructure for handling boundary conditions for DG approximations. • 1-D, 2-D, and 3-D steady heat equation using DG example. • Testing and documentation for all implemented methods.",https://summerofcode.withgoogle.com/programs/2023/projects/SLGbRNI5
