organization_name,organization_url,category,num_projects,irc_channel,contact_email,technologies,topics,project_title,project_short_description,project_description,student_name,project_code_url,project_url
52°North GmbH,https://52north.org/,Science and medicine,3,https://wiki.52north.org/Projects/GSoC#Contact,mailto:gsoc@52north.org,"python, javascript, java, web services, ogc standards","citizen science, spatial information infrastructures, open standards, geoinformation systems",Improving User experience in enviroCar Android,"The features implemented in recent years have greatly enhanced the functionality of the app. Currently, All basic features which help in...","<p>The features implemented in recent years have greatly enhanced the functionality of the app. Currently, All basic features which help in investigating the users journey have been successfully implemented.  However, the app needs improvements such that users have a bug free and a smooth experience using the app.</p>
<p>Hence this year I would like to focus on improving user experience by</p>
<ol>
<li>Solving some of the critical bugs.</li>
<li>Adding  new features.</li>
<li>New layout designs.</li>
</ol>
",Sai Karthikeya,https://blog.52north.org/2021/08/23/improving-user-experience-in-envirocar-android-final-blog-post/,https://summerofcode.withgoogle.com/archive/2021/projects/4566982376030208/
52°North GmbH,https://52north.org/,Science and medicine,3,https://wiki.52north.org/Projects/GSoC#Contact,mailto:gsoc@52north.org,"python, javascript, java, web services, ogc standards","citizen science, spatial information infrastructures, open standards, geoinformation systems",enviroCar Platform Independent App,"Platform Independent enviroCar App
enviroCar is a Citizen Science tool that is used by citizens, traffic planners, scientists and companies to...","<h4>Platform Independent enviroCar App</h4>
<p>enviroCar is a Citizen Science tool that is used by citizens, traffic planners, scientists and companies to collect and analyze vehicle information in various traffic situations and gain insight to support the development of sustainable traffic concepts.</p>
<p>The enviroCar Android App connects with a car's onboard sensors via OBD-II and records the sensors data to generate real-time information like vehicle speed, revolutions per minute and calculates additional information, such as fuel consumption, estimated fuel cost and CO2 emissions. The only limitation being that it is only available for Android users.</p>
<p>This summer I will be working closely with the community and mentors of 52°North to lay the foundation of a platform independent enviroCar app to allow iOS users to access the amazing features of enviroCar.</p>
",D Ajay Kumar,https://blog.52north.org/2021/08/23/envirocar-platform-independent-app-groundwork-final-blog-post/,https://summerofcode.withgoogle.com/archive/2021/projects/6531614133190656/
52°North GmbH,https://52north.org/,Science and medicine,3,https://wiki.52north.org/Projects/GSoC#Contact,mailto:gsoc@52north.org,"python, javascript, java, web services, ogc standards","citizen science, spatial information infrastructures, open standards, geoinformation systems",Groundwork for platform independent app,"EnviroCar is a citizen science community that collects, shares, and analyzes floating car data for traffic management and the environment. It...","<p>EnviroCar is a citizen science community that collects, shares, and analyzes floating car data for traffic management and the environment. It analyzes the open data and estimates the track count, average speed, relative speed, CO2 emission, fuel consumption, and hotspot analysis.</p>
<p>EnviroCar app is an android application that provides features like:</p>
<ul>
<li>Record tracks, explore recorded tracks and upload tracks as open data for analysis.</li>
<li>Sharing data i.e. uploading data as open data for analysis that estimates use it to estimate CO2 emission, track count, average speed, relative speed, hotspot analysis.</li>
<li>Provides real-time data about the track, the distance covered, and duration.</li>
</ul>
<p>The project aims to build a cross-platform application so that the enviroCar app is available to iOS users as well since only two-thirds of people can use the application as of now.</p>
",Khyati,https://blog.52north.org/2021/08/23/envirocar-app-for-ios-users-final-blog-post/,https://summerofcode.withgoogle.com/archive/2021/projects/5918625763950592/
AboutCode,https://www.aboutcode.org,Other,4,https://gitter.im/aboutcode-org/discuss,mailto:sesser@nexb.com,"python, javascript, django, postgres","software composition analysis, software packages, scanning",Integration of Alternate Code Analysis Tools,"This project aims to provide a way to implement and integrate the likes of Google Licenseclassifier, GitHub Licensee, and other license detection and...","<p>This project aims to provide a way to implement and integrate the likes of <strong>Google Licenseclassifier</strong>, <strong>GitHub Licensee</strong>, and other license detection and copyright scanning tools in the form of installable packages and wheels, which can be integrated with ScanCode.io.</p>
<p>As an example of this kind of integration, a Python wrapper package will be developed to harness the functionality of <strong>Google License Classifier v2</strong>, which will provide a novel way of license detection and copyright notification scanning in the form of a new pipeline within ScanCode.io</p>
",Avishrant Sharma,https://github.com/nexB/scancode.io-pipeline-glc_scan/blob/main/docs/source/contribute/GSoC'21%20Final%20Report.rst,https://summerofcode.withgoogle.com/archive/2021/projects/6414766964211712/
AboutCode,https://www.aboutcode.org,Other,4,https://gitter.im/aboutcode-org/discuss,mailto:sesser@nexb.com,"python, javascript, django, postgres","software composition analysis, software packages, scanning",Integrate VirtualCodebase with Deltacode,The goal of this proposal is to refactor DeltaCode to use Scancode-Toolkit’s Virtual Codebase class. This refactoring will allow DeltaCode to be a...,"<p>The goal of this proposal is to refactor DeltaCode to use Scancode-Toolkit’s Virtual Codebase class. This refactoring will allow DeltaCode to be a library as opposed to only be used as a CLI tool, moreover, this refactor will allow DeltaCode to determine deltas much more effectively in the form of BFS scan of the two tree structures unlike indexing the entire codebase.</p>
",Pratik Dey,https://medium.com/@pratikdey/gsoc-2021-work-report-c15ab3c98dd3,https://summerofcode.withgoogle.com/archive/2021/projects/6580434925780992/
AboutCode,https://www.aboutcode.org,Other,4,https://gitter.im/aboutcode-org/discuss,mailto:sesser@nexb.com,"python, javascript, django, postgres","software composition analysis, software packages, scanning",Detect Unknown Licenses and Indirect License references in ScanCode,"Scancode uses various different techniques to detect licenses based on various multiple sequence alignments ,algorithms ,automations etc. but the...","<p>Scancode uses various different techniques to detect licenses based on various multiple sequence alignments ,algorithms ,automations etc. but the detection results are not always accurate enough as expected. The aim of this project is to improve license detection accuracy in general. For example: Detecting unknown licenses and study indirect references and as a whole gain more insight into the Scan Results.
Goals to be accomplished:</p>
<p>1)Main motive will be to improve license detection accuracy for the licenses that are declared as “Unknown” and optimize somehow the way they are handled currently.</p>
<p>2)Detailed review of the licenses which are marked as “Unknown License Reference”.</p>
<p>3)General Improvements for the licenses that are detected incorrectly .Having statistical analysis of all license detection scans (including minimum coverage , score etc.) and of existing license texts and rules.</p>
",Akanksha Garg,https://github.com/nexB/scancode-toolkit/blob/develop/docs/source/contribute/gsoc21_final_report.rst,https://summerofcode.withgoogle.com/archive/2021/projects/6229596998991872/
AboutCode,https://www.aboutcode.org,Other,4,https://gitter.im/aboutcode-org/discuss,mailto:sesser@nexb.com,"python, javascript, django, postgres","software composition analysis, software packages, scanning",VulnerableCode importers refactoring and addition,VulnerableCode has a large number of pending tickets that require adding more data sources of known vulnerabilities (aka. importers). As importers...,"<p>VulnerableCode has a large number of pending tickets that require adding more data sources of known vulnerabilities (aka. importers). As importers sit at the heart of VulnerableCode, the primary goal is to improve their efficiency and implement as many of them (at least 15) as possible.</p>
",Hritik Vijay,https://vulnerablecode.readthedocs.io/en/latest/contribute/gsoc21.html,https://summerofcode.withgoogle.com/archive/2021/projects/6286057699540992/
Accord Project,https://www.accordproject.org/,Programming languages,3,https://accord-project-slack-signup.herokuapp.com/,mailto:admin@accordproject.org,"javascript, react, compiler, ocaml, coq","compilers, ai, legal, smart contracts, blockchain",CiceroMark<->OOXML,"The project aims at dealing with the conversion of CiceroMark to DOCX (OOXML) and vice versa. In the first portion, we are gonna improve the add-in...","<p>The project aims at dealing with the conversion of <strong>CiceroMark to DOCX (OOXML) and vice versa</strong>. In the first portion, we are gonna improve the add-in by improving the existing features and addition of new features which generally includes the ergo expressions and inline blocks of a template. Apart from these, there will be testing of data to ensure that the correct data is entered into the variable fields to avoid any inconsistency. The second portion involves the conversion of the <strong>OOXML to CiceroMark</strong>. In this, improvements will be made to the OOXML transformer present <a href=""https://github.com/accordproject/markdown-transform/tree/algoo-ooxml"" target=""_blank"">here</a>. The current transformer works only for very basic OOXML. We need to extend the functionalities of the transformer to support more ciceromark and commonmark classes like lists, optional, inline, ergo formula blocks. In this way, we will ensure more flexibility and portability with the round trip transformation of the smart clause templates.</p>
",Kushal Kumar,https://accordproject.org/news/gsoc-2021-ciceromark-ooxml-roundtrip-conversion/,https://summerofcode.withgoogle.com/archive/2021/projects/6365179587067904/
Accord Project,https://www.accordproject.org/,Programming languages,3,https://accord-project-slack-signup.herokuapp.com/,mailto:admin@accordproject.org,"javascript, react, compiler, ocaml, coq","compilers, ai, legal, smart contracts, blockchain",Automatic Identification And Classification of Contract Data Types with NLP,"Mapping between the natural language text of a contract and attempting to classify data types such as monetary amounts, dates and legal specific...","<p>Mapping between the natural language text of a contract and attempting to classify data types such as monetary amounts, dates and legal specific terms such as agreement parties, etc. into cicero variables from the existing model library.</p>
<p>Therefore, users can export a smart legal contract by natural language contract text.</p>
<h3>How to do it?</h3>
<h4>A. Data Mapping using NER by RoBERTa.</h4>
<p>Build a scaleable NER model by Adapter Transformers based on RoBERTa.</p>
<p>The model also have Active Learning pipelines. User can define their own custom data type label then upload data and train the Adapter. By doing so, the model will recognize their new tag.</p>
<h4>B. Suggest about templates by Classification Model</h4>
<p>When users first upload their natural language contract, NLP model will tell them which smart legal contract template is suitable. So users can use or fine-tune the contract easily.</p>
<h4>C. Identification contract variables by BERT QA Model</h4>
<p>Input contract text, NLP model will suggest user which they need to put onto smart legal contract's variables.</p>
<h4>D. API backend.</h4>
<p>User can call the NLP model by API. Provide a Swagger UI Documents and plenty of examples.</p>
<h3>For more detail, please <a href=""https://github.com/accordproject/labs-cicero-classify"" target=""_blank"">go to README in the GitHub Repo</a></h3>
",EasonC13,https://github.com/accordproject/labs-cicero-classify,https://summerofcode.withgoogle.com/archive/2021/projects/5699091228524544/
Accord Project,https://www.accordproject.org/,Programming languages,3,https://accord-project-slack-signup.herokuapp.com/,mailto:admin@accordproject.org,"javascript, react, compiler, ocaml, coq","compilers, ai, legal, smart contracts, blockchain",Signing Template and Signing Contracts,The project aims at developing a feature wherein the template developers can sign the templates (to authenticate the source) they developed. The...,"<p>The project aims at developing a feature wherein the template developers can sign the templates (to authenticate the source) they developed. The contracts derived from the templates can be then signed by the parties involved in the agreement (to authenticate the signatories).</p>
",Sanket Shevkar,https://sanketshevkar.github.io/gsoc-submission/,https://summerofcode.withgoogle.com/archive/2021/projects/4719780132552704/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,6,https://aerospaceresearch.zulipchat.com/,mailto:gsoc2021@aerospaceresearch.net,"python, machine learning, sdr, sqlite, raspberry pi","space applications, signal processing, software defined radio, cubesats, simulations",CalibrateSDR,CalibrateSDR is designed to accurately determine the frequency offset of an SDR via an IQ recording sample. Cheaper SDRs use a low-quality crystal...,"<p>CalibrateSDR is designed to accurately determine the frequency offset of an SDR via an IQ recording sample. Cheaper SDRs use a low-quality crystal oscillator which usually has a large offset from the ideal frequency. Furthermore, that frequency offset will change as the dongle warms up or as the ambient temperature changes. The end result is that any signals received will not be at the correct frequency, and they would drift as the temperature changes. 
CalibrateSDR can be used with almost any SDR to determine the frequency offset. As of now, it uses the synchronization channel symbols from DAB+ digital audio stations to determine the offset. The primary focus of this project is to extend the applicability towards more signal standards, so as to make it helpful for the SDR community. As DAB+ is mainly used in Europe, Signal standards like GSM, LTE, NOAA-Weather Satellites, DVB-T (use their sync pulses within the data) can be used. Currently, it uses the pyrtlsdr package, which makes it work with RTL-SDR. Piping the API to work with other SDRs will also make the project have a wide range of applications in the SDR Community.</p>
",Jayaraj,https://aerospaceresearch.net/?p=2349,https://summerofcode.withgoogle.com/archive/2021/projects/6331354941227008/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,6,https://aerospaceresearch.zulipchat.com/,mailto:gsoc2021@aerospaceresearch.net,"python, machine learning, sdr, sqlite, raspberry pi","space applications, signal processing, software defined radio, cubesats, simulations",Development of an FDIR algorithm using Neural networks,"The goal of this project is to develop a failure detection, isolation and recovery algorithm (FDIR) for a cubesat, but using machine learning and...","<p>The goal of this project is to develop a failure detection, isolation and recovery algorithm (FDIR) for a cubesat, but using machine learning and neural networks instead of the more traditional methods.</p>
",Rafael Badell,https://aerospaceresearch.net/?p=2372,https://summerofcode.withgoogle.com/archive/2021/projects/6171036227207168/
